Step	Training Loss
1	1.640900
2	1.803200
3	1.628700
4	1.688900
5	1.534600
6	1.399500
7	1.490100
8	1.504000
9	1.738200
10	1.991200
11	1.866900
12	1.810100
13	1.796500
14	1.589600
15	1.795700
16	1.762400
17	1.531100
18	1.388000
19	1.937800
20	1.343600
21	1.329600
22	1.752500
23	2.013100
24	1.748100
25	1.590500
26	1.958600
27	1.739500
28	1.565400
29	1.585200
30	1.509100
31	1.966800
32	2.000400
33	2.014700
34	2.057600
35	1.992100
36	1.833300
37	1.398700
38	1.893100
39	1.809300
40	1.590600
41	1.858000
42	1.905200
43	1.958800
44	1.733800
45	2.164200
46	1.928100
47	1.749700
48	1.700000
49	2.154600
50	1.579000
51	1.609600
52	1.902500
53	1.427500
54	1.826800
55	1.868000
56	1.645400
57	1.721300
58	1.988400
59	1.700800
60	1.851600
61	1.821700
62	1.906400
63	1.846900
64	1.478100
65	1.915400
66	1.768600
67	2.051500
68	2.163800
69	1.747200
70	1.740600
71	1.750100
72	1.851900
73	1.927600
74	1.712500
75	1.979500
76	1.826400
77	1.990600
78	1.641400
79	1.842900
80	1.824400
81	1.675000
82	1.817000
83	1.829800
84	1.770500
85	1.547200
86	1.930800
87	1.999300
88	1.692000
89	1.811700
90	1.725000
91	1.784200
92	1.863100
93	1.958700
94	1.511500
95	2.150700
96	1.622600
97	1.319200
98	1.766500
99	1.930400
100	1.826600
101	2.029500
102	1.472900
103	1.594900
104	1.836700
105	1.964800
106	1.735900
107	1.704700
108	1.881900
109	1.226400
110	1.411500
111	1.891100
112	1.770800
113	1.605800
114	1.414700
115	1.761000
116	1.739600
117	1.756700
118	1.747800
119	1.792900
120	1.667900
121	1.490300
122	1.880000
123	1.701100
124	2.000700
125	1.299000
126	1.682500
127	1.914900
128	1.725600
129	1.716600
130	1.591500
131	1.871100
132	2.092100
133	1.283600
134	1.951900
135	1.772400
136	1.693700
137	1.597600
138	2.118200
139	1.798200
140	1.830800
141	1.698800
142	1.717500
143	2.000100
144	1.916200
145	1.473600
146	1.850300
147	1.878600
148	1.611900
149	1.449100
150	1.881200
151	1.931100
152	1.610800
153	1.614400
154	1.979500
155	1.783100
156	1.714000
157	1.694200
158	1.788100
159	1.867800
160	1.071000
161	1.675100
162	1.682900
163	1.533300
164	1.925700
165	1.597000
166	1.987700
167	1.706300
168	1.962000
169	1.716400
170	1.264200
171	1.923700
172	1.954400
173	1.715700
174	1.963200
175	1.733100
176	1.843300
177	1.768600
178	1.823700
179	1.850900
180	1.826100
181	1.806900
182	1.703500
183	1.753500
184	1.691900
185	1.431900
186	1.866700
187	1.722600
188	1.637700
189	1.836200
190	1.700200
191	1.938900
192	1.831700
193	1.956500
194	1.338100
195	1.602800
196	1.804800
197	1.612400
198	1.768500
199	1.848800
200	1.564100
201	1.932300
202	1.909400
203	2.037900
204	1.383700
205	1.975700
206	1.723300
207	1.942900
208	1.772200
209	1.713600
210	1.963200
211	1.559500
212	1.464000
213	1.760900
214	1.649100
215	1.872800
216	1.951700
217	1.934400
218	1.614400
219	1.578500
220	1.712300
221	1.732100
222	1.721100
223	1.585200
224	1.861900
225	1.630300
226	1.875000
227	1.667200
228	1.617400
229	1.535600
230	1.699100
231	1.854100
232	1.608800
233	1.858400
234	1.886700
235	1.787000
236	1.837000
237	1.206700
238	1.604700
239	1.883000
240	1.658800
241	1.872900
242	1.878800
243	1.728400
244	1.447300
245	1.476200
246	1.898700
247	2.004200
248	1.613600
249	1.989100
250	2.059800
251	1.802000
252	1.798100
253	1.999800
254	1.722900
255	1.806300
256	1.625200
257	1.968600
258	1.649300
259	1.839000
260	1.391700
261	1.975700
262	1.530800
263	1.679900
264	1.744600
265	1.899800
266	2.008300
267	1.607000
268	1.705500
269	1.797100
270	1.793100
271	1.572800
272	1.331700
273	1.646100
274	1.807300
275	1.442600
276	1.396600
277	1.695400
278	1.715900
279	1.665500
280	1.916400
281	1.663800
282	1.957600
283	1.776200
284	1.724600
285	2.063600
286	1.745700
287	1.915200
288	2.055600
289	1.738300
290	1.551600
291	1.698300
292	1.701400
293	2.034000
294	1.953000
295	1.425700
296	1.774300
297	1.876200
298	1.574700
299	1.873800
300	1.442500
301	1.919200
302	2.228200
303	1.787100
304	1.892800
305	1.866100
306	1.952900
307	1.981700
308	1.854800
309	1.491700
310	1.932000
311	1.361000
312	1.423400
313	1.833900
314	1.748500
315	1.708200
316	1.583200
317	1.682900
318	1.689500
319	1.861400
320	1.893400
321	1.953400
322	1.805200
323	2.001100
324	1.684900
325	1.862700
326	1.899500
327	1.909100
328	1.888700
329	1.853800
330	1.906600
331	1.803800
332	1.836500
333	1.881400
334	1.668700
335	1.918900
336	1.696900
337	1.923100
338	1.743700
339	1.601100
340	1.675100
341	1.663000
342	1.665900
343	1.748000
344	1.551300
345	1.872800
346	1.456300
347	2.049100
348	2.018600
349	1.818000
350	1.765500
351	1.751400
352	1.674600
353	1.961600
354	1.791800
355	1.909000
356	1.783900
357	1.683800
358	1.808700
359	1.752300
360	1.595300
361	1.366500
362	1.634200
363	1.392300
364	1.789400
365	1.889900
366	1.545400
367	1.875300
368	1.452800
369	2.071600
370	1.781500
371	1.829900
372	1.734700
373	1.989300
374	1.938100
375	1.728700
376	2.028100
377	1.577600
378	1.882700
379	1.653200
380	1.930700
381	1.751100
382	2.052300
383	1.899500
384	1.918300
385	1.554300
386	1.677100
387	1.774000
388	1.757600
389	2.056800
390	1.914600
391	1.863700
392	1.628900
393	1.900800
394	1.782200
395	1.854100
396	1.910400
397	1.602700
398	1.504200
399	2.006900
400	1.870300
401	1.960100
402	1.577700
403	1.999000
404	1.763300
405	1.893100
406	1.687500
407	1.588600
408	1.842400
409	1.908400
410	1.599000
411	1.433800
412	1.683200
413	1.819700
414	1.560000
415	1.559900
416	1.235900
417	1.530000
418	1.638800
419	2.016100
420	1.851300
421	1.858100
422	1.669300
423	2.061400
424	1.943900
425	1.826500
426	1.728200
427	1.838600
428	1.634400
429	1.754200
430	1.396800
431	1.837000
432	1.757100
433	1.912300
434	1.709400
435	1.355500
436	1.789700
437	1.661100
438	1.970100
439	1.442400
440	1.315900
441	1.521500
442	1.724700
443	2.021100
444	1.735600
445	2.034900
446	1.704200
447	1.616500
448	1.675500
449	1.901200
450	1.652000
451	1.675600
452	1.948300
453	1.496400
454	1.635800
455	1.562800
456	1.959700
457	1.554300
458	1.965900
459	1.415800
460	1.591500
461	1.650100
462	1.542700
463	2.048400
464	2.036000
465	1.620600
466	1.964300
467	1.749600
468	1.804000
469	1.715000
470	1.624600
471	1.995500
472	1.642300
473	2.198400
474	1.707600
475	1.969300
476	1.828300
477	1.831100
478	1.918600
479	1.983200
480	1.851400
481	1.473200
482	1.718600
483	1.756400
484	1.563800
485	1.823500
486	1.851900
487	1.756200
488	2.009100
489	1.710600
490	1.702900
491	1.862000
492	1.696000
493	1.898000
494	1.920100
495	1.805300
496	1.816100
497	1.878300
498	1.562900
499	1.870500
500	1.978300
501	1.675000
502	1.615300
503	1.992800
504	1.726700
505	1.444000
506	1.639500
507	1.585700
508	1.706300
509	1.749900
510	1.963800
511	1.241400
512	1.504500
513	1.579100
514	1.573300
515	1.727500
516	1.981100
517	1.652400
518	1.712400
519	1.819200
520	2.026400
521	1.662000
522	1.657300
523	1.874200
524	1.648700
525	1.558200
526	1.470100
527	1.948400
528	1.869500
529	1.666800
530	1.750100
531	1.367700
532	1.707800
533	1.540800
534	1.898200
535	1.823400
536	1.823800
537	1.690900
538	1.918500
539	2.089900
540	1.554200
541	1.681200
542	2.073800
543	1.703400
544	1.537700
545	1.456400
546	1.697300
547	1.909900
548	1.503200
549	1.767700
550	1.646700
551	1.799600
552	1.772600
553	1.786000
554	2.095900
555	1.850600
556	1.958300
557	1.733000
558	1.904400
559	1.961600
560	1.919300
561	1.675100
562	1.801500
563	1.696700
564	1.737200
565	1.648900
566	1.749300
567	1.931600
568	1.763700
569	1.748300
570	1.837600
571	1.535300
572	1.821300
573	1.816000
574	2.230300
575	1.694600
576	1.562800
577	1.896800
578	1.982000
579	1.745200
580	1.706600
581	1.511800
582	1.945700
583	1.539600
584	1.656200
585	1.787400
586	1.835700
587	1.564200
588	1.276600
589	1.953300
590	1.781800
591	1.952100
592	1.715300
593	1.801000
594	1.520300
595	1.990500
596	1.983500
597	1.696100
598	1.791400
599	1.673400
600	1.892500
601	1.910900
602	1.604000
603	1.842600
604	1.756700
605	1.688800
606	2.026900
607	1.878200
608	1.519600
609	1.821800
610	1.765400
611	1.891600
612	1.537300
613	1.971000
614	1.585900
615	1.995500
616	1.746400
617	1.679900
618	1.524500
619	1.724600
620	1.792100
621	1.934300
622	1.725200
623	1.873800
624	1.667500
625	1.872800
626	1.800600
627	1.368000
628	1.747400
629	2.036000
630	1.646200
631	1.785700
632	1.599000
633	1.835700
634	1.945900
635	1.847100
636	1.621800
637	1.852500
638	1.974600
639	1.914500
640	2.022800
641	1.439300
642	1.431200
643	1.830600
644	1.869300
645	1.916300
646	1.775000
647	1.612600
648	1.857200
649	2.008700
650	1.706900
651	1.934500
652	1.829900
653	1.456100
654	1.796500
655	1.886600
656	1.601100
657	1.646800
658	1.575100
659	1.715400
660	2.024800
661	1.644900
662	1.647600
663	1.527800
664	1.844400
665	2.103000
666	1.760900
667	1.844800
668	1.522300
669	1.733300
670	2.028400
671	1.871100
672	1.941400
673	1.846100
674	1.787800
675	1.926900
676	1.711500
677	1.575900
678	1.884200
679	1.711900
680	1.595300
681	1.735300
682	1.430800
683	1.672100
684	1.779100
685	1.514700
686	2.288300
687	1.646000
688	1.858400
689	1.732100
690	1.967200
691	1.572500
692	1.841600
693	1.932700
694	1.856900
695	1.955800
696	1.853900
697	1.807700
698	1.996500
699	1.799000
700	1.845100
701	1.504000
702	1.826200
703	1.938700
704	1.859300
705	1.787300
706	1.807400
707	1.872000
708	2.056900
709	1.921200
710	1.932900
711	1.635900
712	1.883600
713	2.003700
714	1.774100
715	1.973500
716	1.508700
717	1.607700
718	1.668000
719	1.707800
720	1.960500
721	2.029100
722	1.787000
723	1.642100
724	1.875500
725	1.879000
726	1.452800
727	2.015500
728	1.992400
729	2.087300
730	1.592600
731	1.644400
732	1.798100
733	1.345400
734	1.483100
735	1.786100
736	1.936200
737	1.836500
738	1.903900
739	1.900800
740	1.668100
741	1.881800
742	1.691700
743	1.585300
744	1.604000
745	1.892700
746	1.939200
747	1.275900
748	2.007000
749	1.897200
750	1.641800
751	2.132700
752	1.704500
753	1.773000
754	1.652900
755	1.767600
756	1.884000
757	1.941500
758	1.556500
759	1.807500
760	2.087500
761	2.215700
762	1.940300
763	1.684700
764	1.406000
765	1.995800
766	1.713700
767	2.004000
768	1.720300
769	1.655300
770	2.029700
771	1.786100
772	1.963900
773	1.377000
774	1.764100
775	1.833900
776	1.566200
777	1.962200
778	1.591200
779	1.696500
780	1.534400
781	1.794500
782	1.354200
783	1.318800
784	1.791900
785	1.450300
786	1.720200
787	1.626600
788	1.748400
789	1.744400
790	1.683400
791	1.992600
792	1.958100
793	2.032700
794	1.701400
795	1.536100
796	1.774200
797	1.661200
798	1.644200
799	1.871200
800	1.434000
801	1.515300
802	1.732700
803	1.874200
804	1.896300
805	1.751300
806	1.901600
807	1.903600
808	1.489800
809	1.924800
810	1.905100
811	1.706200
812	1.746600
813	1.757700
814	1.347800
815	1.820300
816	1.902400
817	1.744800
818	1.386000
819	1.668200
820	1.807700
821	1.815600
822	1.862200
