Step	Training Loss
1	2.745200
2	2.800500
3	2.723400
4	2.954100
5	2.768800
6	2.419300
7	2.237900
8	2.111000
9	2.155000
10	2.279900
11	2.116100
12	2.133600
13	2.098900
14	1.876900
15	2.037100
16	2.015000
17	1.758100
18	1.733900
19	2.084900
20	1.570100
21	1.540000
22	1.883400
23	2.103600
24	1.852500
25	1.691600
26	2.008700
27	1.796100
28	1.684000
29	1.626800
30	1.509900
31	1.959000
32	2.011400
33	2.024400
34	2.058700
35	1.987900
36	1.830300
37	1.399900
38	1.878700
39	1.811300
40	1.589000
41	1.852000
42	1.898500
43	1.962700
44	1.735900
45	2.163500
46	1.920800
47	1.745300
48	1.712100
49	2.156300
50	1.581300
51	1.609700
52	1.897000
53	1.431100
54	1.828500
55	1.866900
56	1.648400
57	1.717800
58	1.986600
59	1.701700
60	1.844500
61	1.826500
62	1.909700
63	1.841200
64	1.472700
65	1.916900
66	1.776100
67	2.053800
68	2.163700
69	1.747700
70	1.744000
71	1.750200
72	1.850500
73	1.923800
74	1.710100
75	1.978500
76	1.828500
77	1.994400
78	1.643900
79	1.842100
80	1.820800
81	1.677400
82	1.819000
83	1.838000
84	1.659900
85	1.558700
86	1.932300
87	2.003100
88	1.686200
89	1.818000
90	1.720800
91	1.784300
92	1.861300
93	1.954200
94	1.513500
95	2.152900
96	1.616900
97	1.318200
98	1.766400
99	1.934800
100	1.829300
101	2.033400
102	1.478200
103	1.622200
104	1.836100
105	1.965600
106	1.734700
107	1.701100
108	1.886400
109	1.223100
110	1.403600
111	1.893100
112	1.768000
113	1.606900
114	1.419800
115	1.764600
116	1.731600
117	1.759300
118	1.747500
119	1.795200
120	1.663500
121	1.494300
122	1.884400
123	1.702900
124	2.002100
125	1.304500
126	1.680600
127	1.910400
128	1.726500
129	1.714700
130	1.600200
131	1.871200
132	2.091200
133	1.277900
134	1.951300
135	1.769800
136	1.695200
137	1.598900
138	2.119600
139	1.797900
140	1.831800
141	1.703700
142	1.718300
143	2.001900
144	1.916100
145	1.475100
146	1.848300
147	1.876700
148	1.613800
149	1.444400
150	1.887300
151	1.934900
152	1.613500
153	1.613300
154	2.065700
155	1.787300
156	1.710200
157	1.694600
158	1.787000
159	1.867300
160	1.082100
161	1.678600
162	1.687100
163	1.535900
164	1.924100
165	1.601900
166	1.988700
167	1.709100
168	1.966600
169	1.720100
170	1.263400
171	1.923200
172	1.950900
173	1.711300
174	1.965200
175	1.736100
176	1.843500
177	1.771400
178	1.824300
179	1.849300
180	1.827300
181	1.809600
182	1.704200
183	1.757100
184	1.685800
185	1.435100
186	1.867400
187	1.724300
188	1.645000
189	1.835600
190	1.699600
191	1.940200
192	1.832500
193	1.957200
194	1.339100
195	1.603900
196	1.803900
197	1.616100
198	1.766400
199	1.849700
200	1.567200
201	1.935100
202	1.912000
203	2.039500
204	1.383200
205	1.979200
206	1.725000
207	1.939900
208	1.770500
209	1.712200
210	1.962200
211	1.558000
212	1.460800
213	1.762000
214	1.645700
215	1.873400
216	1.952700
217	2.066600
218	1.614300
219	1.573500
220	1.715800
221	1.735800
222	1.721100
223	1.581500
224	1.866800
225	1.630000
226	1.878300
227	1.664700
228	1.619800
229	1.537700
230	1.699900
231	1.849600
232	1.615800
233	1.855200
234	1.883300
235	1.787700
236	1.835600
237	1.207000
238	1.608000
239	1.879500
240	1.656900
241	1.876000
242	1.881500
243	1.728500
244	1.450800
245	1.476100
246	1.895400
247	2.007600
248	1.608500
249	1.991800
250	2.059900
251	1.802100
252	1.800100
253	2.002800
254	1.719800
255	1.805200
256	1.624600
257	1.970200
258	1.650200
259	1.837500
260	1.391700
261	2.092200
262	1.531500
263	1.680800
264	1.747700
265	1.896800
266	2.008900
267	1.605300
268	1.707800
269	1.795700
270	1.790900
271	1.576900
272	1.331600
273	1.645800
274	1.804800
275	1.441200
276	1.396300
277	1.697100
278	1.719300
279	1.667100
280	1.917600
281	1.665800
282	1.954600
283	1.776900
284	1.724200
285	2.060500
286	1.745400
287	1.914500
288	2.059800
289	1.744500
290	1.553500
291	1.708200
292	1.704000
293	2.038900
294	1.964100
295	1.399000
296	1.772600
297	1.873100
298	1.574500
299	1.872900
300	1.443700
301	1.914900
302	2.228500
303	1.789400
304	1.896000
305	1.863100
306	1.949500
307	2.127800
308	1.856900
309	1.488300
310	1.932900
311	1.374600
312	1.423000
313	1.830400
314	1.748100
315	1.708500
316	1.585300
317	1.685600
318	1.691700
319	1.859600
320	1.888600
321	1.954400
322	1.809200
323	2.001700
324	1.683500
325	1.862600
326	1.898500
327	1.911900
328	1.888300
329	1.851700
330	1.907700
331	1.804900
332	1.834900
333	1.884800
334	1.667800
335	1.921800
336	1.697000
337	1.925400
338	1.744400
339	1.607500
340	1.676200
341	1.663400
342	1.656600
343	1.747100
344	1.555000
345	1.870500
346	1.455200
347	2.048300
348	2.017600
349	1.816300
350	1.763900
351	1.748400
352	1.679400
353	1.960700
354	1.793500
355	1.905800
356	1.784100
357	1.688900
358	1.813900
359	1.752000
360	1.587700
361	1.371000
362	1.633300
363	1.387000
364	1.781500
365	1.893000
366	1.545800
367	1.874900
368	1.449000
369	2.173400
370	1.784200
371	1.829400
372	1.735000
373	1.987400
374	1.936000
375	1.732200
376	2.029500
377	1.579800
378	1.884900
379	1.650300
380	1.936800
381	1.755900
382	2.049300
383	1.899800
384	1.917500
385	1.547200
386	1.674000
387	1.771800
388	1.756700
389	2.056600
390	1.915700
391	1.861700
392	1.631000
393	1.902500
394	1.783100
395	1.857000
396	1.909600
397	1.603400
398	1.502200
399	2.006200
400	1.871100
401	1.961800
402	1.578000
403	2.000500
404	1.762700
405	1.895700
406	1.690900
407	1.588100
408	1.839400
409	1.908500
410	1.596400
411	1.427400
412	1.681700
413	1.820300
414	1.554500
415	1.556400
416	1.234600
417	1.526300
418	1.638900
419	2.013900
420	1.852500
421	1.859700
422	1.659600
423	2.062500
424	1.946100
425	1.826300
426	1.731600
427	1.831000
428	1.636500
429	1.755000
430	1.396600
431	1.833200
432	1.753600
433	1.916000
434	1.715300
435	1.347800
436	1.790800
437	1.667400
438	1.970500
439	1.443200
440	1.314600
441	1.422300
442	1.729400
443	2.022500
444	1.734100
445	2.033300
446	1.707300
447	1.591100
448	1.674100
449	1.898700
450	1.653300
451	1.674500
452	1.950900
453	1.496900
454	1.632900
455	1.565300
456	1.964800
457	1.555500
458	1.967100
459	1.422400
460	1.591400
461	1.645000
462	1.542100
463	2.020500
464	2.030100
465	1.620700
466	1.973400
467	1.748200
468	1.809300
469	1.715600
470	1.623000
471	1.998300
472	1.644800
473	2.201000
474	1.710400
475	1.968000
476	1.831700
477	1.830800
478	1.917600
479	1.981600
480	1.851700
481	1.473600
482	1.714800
483	1.754600
484	1.562000
485	1.820800
486	1.847400
487	1.746800
488	2.003700
489	1.715000
490	1.700800
491	1.864200
492	1.694600
493	1.899800
494	1.919400
495	1.809800
496	1.816000
497	1.880600
498	1.565000
499	1.869200
500	1.983300
501	1.677000
502	1.611900
503	1.994200
504	1.730100
505	1.438800
506	1.642800
507	1.579600
508	1.708900
509	1.753800
510	1.965400
511	1.406700
512	1.503600
513	1.585000
514	1.570200
515	1.724200
516	1.981000
517	1.654600
518	1.716000
519	1.816900
520	2.022600
521	1.664800
522	1.663700
523	1.872900
524	1.650000
525	1.561800
526	1.414800
527	1.948000
528	1.874100
529	1.667600
530	1.750700
531	1.363700
532	1.711400
533	1.536300
534	1.901200
535	1.820100
536	1.823000
537	1.689600
538	1.919400
539	2.087700
540	1.556900
541	1.676400
542	2.072600
543	1.706100
544	1.543100
545	1.452600
546	1.691300
547	1.915500
548	1.502200
549	1.766400
550	1.656300
551	1.798900
552	1.774400
553	1.782000
554	2.096300
555	1.849200
556	1.960000
557	1.732400
558	1.905800
559	1.959000
560	1.919800
561	1.681200
562	1.802400
563	1.699500
564	1.740800
565	1.651300
566	1.751300
567	1.930900
568	1.769700
569	1.743500
570	1.833700
571	1.539400
572	1.824900
573	1.817500
574	2.229700
575	1.693800
576	1.565200
577	1.899400
578	1.982100
579	1.747000
580	1.714700
581	1.502100
582	1.946500
583	1.547700
584	1.657500
585	1.791400
586	1.836600
587	1.565100
588	1.274200
589	1.954500
590	1.774200
591	1.955200
592	1.714100
593	1.797500
594	1.515500
595	1.989600
596	1.979200
597	1.696500
598	1.794700
599	1.669000
600	1.895500
601	1.909100
602	1.601300
603	1.845200
604	1.750400
605	1.692000
606	2.029500
607	1.877300
608	1.511300
609	1.818100
610	1.767100
611	1.891000
612	1.535900
613	1.970100
614	1.584700
615	1.997300
616	1.752100
617	1.676200
618	1.523600
619	1.730600
620	1.793900
621	1.934500
622	1.728700
623	1.870800
624	1.675400
625	1.865500
626	1.802100
627	1.364500
628	1.745400
629	2.039500
630	1.645700
631	1.786100
632	1.603400
633	1.833400
634	1.947300
635	1.850400
636	1.624700
637	1.854100
638	1.981700
639	1.914600
640	2.013700
641	1.440500
642	1.436000
643	1.829200
644	1.867700
645	1.909800
646	1.776600
647	1.606400
648	1.862300
649	2.012500
650	1.707700
651	1.932400
652	1.833300
653	1.476000
654	1.798300
655	1.887700
656	1.597400
657	1.650900
658	1.577700
659	1.720900
660	2.033700
661	1.647000
662	1.649900
663	1.533000
664	1.851000
665	2.104500
666	1.761200
667	1.848900
668	1.521600
669	1.734700
670	2.037500
671	1.869000
672	1.940300
673	1.848000
